cpu_avg,cpu_max,cpu_min,cpu_std,cpu_trend,cpu_range,cpu_variance,memory_avg,memory_max,memory_min,memory_std,memory_range,memory_trend,disk_avg,disk_max,disk_min,disk_std,disk_range,disk_trend,network_in_avg,network_out_avg,network_in_std,network_out_std,process_avg,process_max,process_min,process_std,running_process_avg,thread_avg,crash_label
40.42666666666667,45.0,37.0,2.0036294750892267,-0.02661294804112257,8.0,4.014531073446331,72.56666666666668,72.7,72.5,0.060131682240225026,0.20000000000000284,-0.0006223951097526911,4.1,4.1,4.1,0.0,0.0,0.0,4141609045.3333335,3173168469.3333335,1852277.2508836542,389315.0987560236,708.85,710.0,707.0,1.3756354463868443,343.85,1975.6833333333334,0
41.08833333333333,48.3,36.4,2.888498035996355,0.06676021116976937,11.899999999999999,8.3434209039548,72.62333333333332,72.8,72.5,0.09454021952240621,0.29999999999999716,0.003284245623784427,4.1,4.1,4.1,0.0,0.0,0.0,4144395212.8,3173901875.2,871043.3901068537,355934.6359317839,707.6333333333333,710.0,707.0,0.8629210672834347,342.6333333333333,1967.7,0
41.91333333333333,48.3,38.7,2.5362100823711153,-0.07621561544873573,9.599999999999994,6.4323615819209,72.76833333333333,73.0,72.5,0.11570222836971567,0.5,0.003698249513753889,4.1,4.1,4.1,0.0,0.0,0.0,4145941009.0666666,3174595396.266667,707092.4627794592,319561.6703125465,708.8833333333333,710.0,707.0,0.9404590777041594,343.8833333333333,1975.3333333333333,0
40.95333333333335,46.9,36.1,2.103223246019991,0.006601833842734074,10.799999999999997,4.423548022598868,72.92166666666667,73.2,72.6,0.16579716693891933,0.6000000000000085,0.005237565990552904,4.1,4.1,4.1,0.0,0.0,0.0,4147747993.6,3175335321.6,1187450.05330524,423588.87339123327,709.5666666666667,710.0,709.0,0.49971743428090826,344.56666666666666,1980.9333333333334,0
41.48500000000001,49.9,35.2,2.386176645399675,0.005426507363156453,14.699999999999996,5.693838983050846,73.03666666666669,73.2,72.9,0.10078785685981696,0.29999999999999716,-0.0008557932759100732,4.1,4.1,4.1,0.0,0.0,0.0,4155832661.3333335,3176198058.6666665,9410497.814314125,424812.2938185106,708.65,710.0,706.0,1.7352282124125753,343.65,1996.3,0
41.68833333333332,49.9,39.4,2.085388364973863,-0.03714642956376773,10.5,4.348844632768362,73.11999999999999,73.5,72.9,0.1272925364289213,0.5999999999999943,0.005573770491803258,4.1,4.1,4.1,0.0,0.0,0.0,4170661273.6,3176965461.3333335,7223827.005083651,339186.69516172726,706.75,710.0,706.0,0.7945790912196153,341.75,1984.8166666666666,0
45.211666666666666,62.7,39.4,6.905048304711235,0.24967768824673517,23.300000000000004,47.67969209039549,73.48166666666665,76.4,72.1,1.1928447221132554,4.300000000000011,0.02406501806057243,4.1,4.1,4.1,0.0,0.0,0.0,4175649314.133333,3177657668.266667,775406.4747893212,402171.620576946,708.2833333333333,711.0,706.0,1.354110711577543,343.0833333333333,2047.0,0
49.714999999999996,65.5,39.7,8.374412703920989,-0.050833564879133084,25.799999999999997,70.13078813559325,73.05833333333332,76.4,72.0,1.376841345397313,4.400000000000006,-0.03881911642122813,4.1,4.1,4.1,0.0,0.0,0.0,4177322547.2,3178523545.6,987461.8097107934,503070.1041339356,707.1,711.0,704.0,2.5953021443252,344.31666666666666,2103.4166666666665,0
43.43333333333332,65.5,35.9,5.889020714155403,-0.23479299805501522,29.6,34.68056497175141,72.49499999999999,72.9,72.0,0.27581927268855105,0.9000000000000057,0.013362045012503486,4.1,4.1,4.1,0.0,0.0,0.0,4182817194.6666665,3179542784.0,4349441.45841564,470515.46919003484,703.5833333333334,705.0,701.0,1.3813732625165005,343.5833333333333,1982.2833333333333,0
41.12833333333334,49.3,35.9,2.6603231399661857,0.039347040844679035,13.399999999999999,7.077319209039547,72.82666666666664,73.3,72.6,0.13259683595001479,0.7000000000000028,0.004667963323145385,4.1,4.1,4.1,0.0,0.0,0.0,4192782779.733333,3180486075.733333,5420831.37918188,449388.50441053166,702.5833333333334,704.0,701.0,0.9618426289876391,342.5833333333333,1946.5,0
